N MSB,#1,#2,#3,uJ
1,0.8539,0.8533,0.8645,260.396806766
2,0.8533,0.8535,0.8596,520.793613532
3,0.8641,0.8612,0.8696,781.1904202979999
4,0.8672,0.8657,0.8778,1041.587227064
5,0.8678,0.8778,0.8674,1301.98403383
6,0.8663,0.8739,0.8698,1562.3808405959999
