N MSB,#1,#2,#3,uJ
1,,,,260.3968068
2,,,,520.7936136
3,,,,781.1904205
4,,,,1041.587227
5,,,,1301.984034
6,,,,1562.380841
7,,,,1822.777648
8,,,,2083.174455
9,,,,2343.571261
10,,,,2603.968068
11,,,,2864.364875
12,,,,3124.761682
