N MSB,#1,#2,#3,uJ
1,0.8574,0.8533,0.8539,6.3909148
2,0.8665,0.8716,0.8723,12.781826864000001
3,0.8769,0.8749,0.8698,19.172738928
4,0.881,0.868,0.8778,25.563650992
5,0.8839,0.8839,0.8832,31.954562600000003
6,0.8845,0.8845,0.8849,38.34547512
