Input Bits,#1,#2,#3,uJ
2,0.1051,0.1002,0.1031,29.7121
3,0.7482,0.7592,0.7643,29.7127
4,0.879,0.8684,0.8802,29.7157
5,0.9018,0.8979,0.9018,29.7170
6,0.9018,0.9097,0.9016,29.7219
7,0.9049,0.9079,0.8995,29.7238
8,0.9053,0.8987,0.9055,29.7305
