Bits,#1,#2,#3,uJ
12,0.904,0.8998,0.8912,1054.5027253119981
11,0.9073,0.8963,0.8995,1050.897881592
10,0.9075,0.8971,0.9004,1047.555851264
9,0.8995,0.8981,0.8963,1044.44743284
8,0.8918,0.8963,0.9059,1041.587227064
7,0.8979,0.8961,0.9016,1038.975233936
6,0.8996,0.8995,0.8996,1036.596852712
5,0.8859,0.8851,0.8918,1034.48128488
4,0.8062,0.7942,0.805,1032.6139296959998
3,0.1023,0.0911,0.0935,1030.3189499359999
2,0.1027,0.0921,0.0921,1028.7722360720002
