Non CIM bits,#1,#2,#3,uJ
2,0.1051,0.1002,0.1031,30.0025
3,0.1051,0.1002,0.1031,30.0282
4,0.7997,0.7967,0.7891,30.0643
5,0.8564,0.8531,0.8633,30.1106
6,0.879,0.8706,0.8761,30.1665
7,0.8743,0.881,0.8816,30.2327
8*,0.881,0.8684,0.8778,30.3085
9,0.879,0.8816,0.8767,30.3950
10,0.8802,0.8798,0.8812,30.4912
11,0.8808,0.879,0.8788,30.5973
12,0.8822,0.8743,0.8818,30.7138
