Bits,#1,#2,#3,uJ
12,0.9059,0.904,0.9044,1054.5027256279982
11,0.9042,0.9024,0.9018,1050.8978818799999
10,0.8989,0.9038,0.9004,1047.555851528
9,0.9042,0.9114,0.902,1044.447433076
8,0.9071,0.8949,0.9018,1041.587227272
7,0.9095,0.8983,0.8993,1038.97523412
6,0.8983,0.8963,0.903,1036.596852868
5,0.8871,0.8757,0.8802,1034.481285012
4,0.7484,0.7284,0.7453,1032.6139297999998
3,0.0789,0.0789,0.0789,1030.318950016
2,0.0789,0.0789,0.0789,1028.772236124
