N MSB,#1,#2,#3,uJ
1,0.8562,0.8517,0.8572,260.396806818
2,0.8547,0.8578,0.8625,520.793613636
3,0.8692,0.8537,0.8637,781.190420454
4,0.8651,0.8615,0.8562,1041.587227272
5,0.8549,0.8661,0.8645,1301.98403409
6,0.8647,0.8612,0.8718,1562.380840908
