Input Bits,#1,#2,#3,uJ
2,0.1051,0.1002,0.1031,25.559955375999998
3,0.7482,0.7592,0.7643,25.560571311999997
4,0.879,0.8684,0.8802,25.563650992
5,0.9018,0.8979,0.9018,25.564882863999998
6,0.9018,0.9097,0.9016,25.569810351999998
7,0.9049,0.9079,0.8995,25.57165816
8,0.9053,0.8987,0.9055,25.578433456
