Hidden dim,#1,#2,#3,uJ
114,0.8509,0.8525,0.8621,361.735507064
200,0.8777,0.8735,0.8806,981.590611272
300,0.8918,0.8894,0.8922,2078.539004072
400,0.8995,0.8991,0.9044,3579.3347568720005
500,0.9016,0.9018,0.8981,5484.530829672
