Output Bits,#1,#2,#3,uJ
2,0.1002,0.1002,0.0984,8.5670
3,0.1002,0.1002,0.1002,12.1936
4,0.8753,0.8686,0.8708,16.3327
5,0.8716,0.878,0.8784,21.6511
6,0.8794,0.8802,0.8753,29.7157
7,0.8788,0.8784,0.8822,43.9069
8,0.8833,0.8773,0.8788,71.7308
