Epoch,M1_0 Train Loss,M1_0 Train Acc,M1_0 Vali. Acc,M1_1 Train Loss,M1_1 Train Acc,M1_1 Vali. Acc,M0_0 Train Loss,M0_0 Train Acc,M0_0 Vali. Acc,M0_1 Train Loss,M0_1 Train Acc,M0_1 Vali. Acc
17900,0.6279,0.82,0.8506,0.5878,0.76,0.8421,0.6434,0.81,0.8475,0.6434,0.81,0.8491
18000,0.4849,0.83,0.8506,0.47,0.82,0.8421,0.5499,0.84,0.8489,0.5499,0.84,0.8494
18100,0.5212,0.83,0.8506,0.5853,0.82,0.8421,0.6479,0.84,0.8489,0.6479,0.84,0.8494
18200,0.3907,0.89,0.8506,0.377,0.9,0.8421,0.5394,0.82,0.8567,0.5394,0.82,0.8586
18300,0.3947,0.9,0.8506,0.4227,0.88,0.8421,0.5252,0.83,0.8567,0.5252,0.83,0.8586
18400,0.386,0.88,0.8506,0.4173,0.86,0.8421,0.6943,0.8,0.8567,0.6943,0.8,0.8586
18500,0.5763,0.76,0.8506,0.5285,0.81,0.8421,0.4299,0.87,0.8567,0.4299,0.87,0.8586
18600,0.4661,0.89,0.8506,0.4611,0.83,0.8421,0.802,0.75,0.8567,0.802,0.75,0.8586
18700,0.5034,0.82,0.8506,0.5073,0.83,0.8421,0.6182,0.82,0.8567,0.6182,0.82,0.8586
18800,0.3512,0.9,0.8506,0.3874,0.89,0.8421,0.6257,0.8,0.8567,0.6257,0.8,0.8586
18900,0.5479,0.87,0.8506,0.4925,0.87,0.8421,0.5503,0.84,0.8567,0.5503,0.84,0.8586
19000,0.6453,0.76,0.8506,0.6015,0.75,0.8421,0.5781,0.83,0.8567,0.5781,0.83,0.8586
19100,0.4508,0.86,0.8506,0.4857,0.85,0.8421,0.4273,0.87,0.8567,0.4273,0.87,0.8586
19200,0.4383,0.86,0.8506,0.4862,0.84,0.8421,0.427,0.85,0.8567,0.427,0.85,0.8586
19300,0.6007,0.82,0.8506,0.5894,0.84,0.8421,0.4658,0.87,0.8567,0.4658,0.87,0.8586
19400,0.5257,0.81,0.8506,0.5972,0.8,0.8421,0.7145,0.75,0.8567,0.7145,0.75,0.8586
19500,0.511,0.87,0.8506,0.4758,0.86,0.8421,0.7155,0.79,0.8567,0.7155,0.79,0.8586
19600,0.5179,0.82,0.8506,0.5146,0.82,0.8421,0.567,0.84,0.8567,0.567,0.84,0.8586
19700,0.501,0.84,0.8506,0.4909,0.82,0.8421,0.8434,0.73,0.8567,0.8434,0.73,0.8586
19800,0.4638,0.85,0.8506,0.4658,0.85,0.8421,0.579,0.83,0.8567,0.579,0.83,0.8586
19900,0.5476,0.83,0.8506,0.5161,0.82,0.8421,0.472,0.88,0.8567,0.472,0.88,0.8586
20000,0.5949,0.79,0.8506,0.574,0.84,0.8421,0.4837,0.87,0.8567,0.4837,0.87,0.8586
20100,0.5382,0.81,0.8506,0.5072,0.81,0.8421,0.49,0.88,0.8567,0.49,0.88,0.8586
20199,0.4543,0.86,0.8506,0.4945,0.81,0.8421,0.5717,0.81,0.8567,0.5717,0.81,0.8586
0,0.7694,0.74,0.7864,0.6668,0.81,0.7965,0.6968,0.79,0.8235,0.7138,0.77,0.8206
100,0.6726,0.82,0.864,0.6629,0.85,0.8559,0.6133,0.8,0.8627,0.602,0.8,0.8633
200,0.6215,0.77,0.8701,0.5563,0.87,0.8622,0.4846,0.87,0.8637,0.4914,0.85,0.8654
300,0.4462,0.83,0.8701,0.5036,0.8,0.8634,0.6331,0.81,0.8637,0.6307,0.81,0.8665
400,0.6097,0.83,0.8768,0.6603,0.76,0.8634,0.6326,0.78,0.8637,0.6336,0.79,0.8665
500,0.5423,0.8,0.8768,0.4704,0.87,0.8634,0.5264,0.86,0.8692,0.4926,0.85,0.8692
600,0.676,0.83,0.8768,0.6324,0.77,0.8634,0.4758,0.84,0.8692,0.4936,0.84,0.8692
700,0.6026,0.8,0.8768,0.5194,0.87,0.865,0.5217,0.85,0.8692,0.5418,0.82,0.8692
800,0.6217,0.84,0.8768,0.6739,0.76,0.8657,0.3809,0.9,0.8692,0.3658,0.9,0.8692
900,0.5241,0.79,0.8768,0.3933,0.9,0.8657,0.6376,0.82,0.8692,0.6584,0.82,0.8692
1000,0.7388,0.81,0.881,0.7602,0.72,0.8657,0.3812,0.91,0.8692,0.3882,0.89,0.8692
1100,0.4957,0.86,0.881,0.498,0.86,0.8657,0.5818,0.83,0.8692,0.5811,0.81,0.8692
1200,0.4384,0.86,0.881,0.4358,0.85,0.8659,0.6456,0.8,0.8692,0.6485,0.78,0.8692
1300,0.4445,0.88,0.881,0.4438,0.87,0.8659,0.6335,0.8,0.8692,0.6518,0.82,0.8702
1400,0.4545,0.86,0.881,0.5166,0.81,0.8676,0.5128,0.82,0.8692,0.5065,0.84,0.8711
1500,0.4337,0.88,0.881,0.4246,0.87,0.8691,0.6131,0.8,0.8692,0.6054,0.79,0.8711
1600,0.4883,0.87,0.881,0.5265,0.85,0.8691,0.4477,0.87,0.8721,0.4612,0.87,0.8711
1700,0.5577,0.86,0.881,0.6412,0.8,0.8691,0.5356,0.81,0.8721,0.545,0.81,0.8711
1800,0.5369,0.78,0.881,0.6485,0.76,0.8691,0.5073,0.84,0.8721,0.523,0.84,0.8711
1900,0.3488,0.88,0.881,0.3651,0.86,0.8691,0.5574,0.83,0.8768,0.5514,0.83,0.8755
2000,0.4987,0.84,0.881,0.4654,0.86,0.8691,0.5615,0.8,0.8768,0.5667,0.79,0.8755
2100,0.5881,0.82,0.881,0.5525,0.85,0.8691,0.6767,0.82,0.8768,0.6592,0.82,0.8755
2200,0.3765,0.9,0.881,0.4265,0.89,0.8691,0.4795,0.92,0.8768,0.4796,0.92,0.8755
2300,0.4904,0.87,0.881,0.4544,0.85,0.8691,0.469,0.87,0.8768,0.4804,0.87,0.8755
2400,0.5996,0.85,0.881,0.6008,0.82,0.8691,0.5992,0.79,0.8768,0.5859,0.78,0.8755
2500,0.4747,0.89,0.881,0.4221,0.89,0.8691,0.4984,0.84,0.8768,0.5079,0.83,0.8755
2600,0.4867,0.82,0.881,0.4305,0.87,0.8691,0.4523,0.88,0.8768,0.4592,0.86,0.8755
2700,0.4794,0.84,0.881,0.5118,0.85,0.8693,0.5268,0.82,0.8768,0.5314,0.81,0.8755
2800,0.541,0.84,0.881,0.6461,0.77,0.8693,0.4855,0.82,0.8768,0.4823,0.85,0.8755
2900,0.3292,0.92,0.881,0.3666,0.91,0.8693,0.5291,0.84,0.8789,0.53,0.83,0.8765
3000,0.408,0.86,0.882,0.457,0.85,0.8693,0.7134,0.78,0.8789,0.7153,0.79,0.8765
