,w_noise_list,act_res
0,0.0,0.907698392868042
1,0.0,0.908091127872467
2,0.0,0.9069128036499023
3,0.0,0.9071092009544373
4,0.0,0.9078947305679321
5,0.0,0.9094658493995667
6,0.0,0.9112333059310913
7,0.0,0.9092694520950317
8,0.0,0.9100549817085266
9,0.0,0.907698392868042
10,0.001,0.9078947305679321
11,0.001,0.908287525177002
12,0.001,0.9110369682312012
13,0.001,0.9096622467041016
14,0.001,0.9098586440086365
15,0.001,0.9090730547904968
16,0.001,0.9096622467041016
17,0.001,0.907698392868042
18,0.001,0.9102513790130615
19,0.001,0.9086803197860718
20,0.002,0.9100549817085266
21,0.002,0.9086803197860718
22,0.002,0.9102513790130615
23,0.002,0.9110369682312012
24,0.002,0.9098586440086365
25,0.002,0.907698392868042
26,0.002,0.9073055982589722
27,0.002,0.908287525177002
28,0.002,0.9096622467041016
29,0.002,0.9071092009544373
30,0.003,0.908287525177002
31,0.003,0.9069128036499023
32,0.003,0.9114297032356262
33,0.003,0.9078947305679321
34,0.003,0.9108405709266663
35,0.003,0.9067164063453674
36,0.003,0.9078947305679321
37,0.003,0.9106441736221313
38,0.003,0.9102513790130615
39,0.003,0.907698392868042
40,0.004,0.9078947305679321
41,0.004,0.908287525177002
42,0.004,0.908287525177002
43,0.004,0.9110369682312012
44,0.004,0.9086803197860718
45,0.004,0.9086803197860718
46,0.004,0.9084839224815369
47,0.004,0.9096622467041016
48,0.004,0.9100549817085266
49,0.004,0.908091127872467
50,0.005,0.9088766574859619
51,0.005,0.908091127872467
52,0.005,0.9086803197860718
53,0.005,0.9084839224815369
54,0.005,0.908091127872467
55,0.005,0.908091127872467
56,0.005,0.9096622467041016
57,0.005,0.9084839224815369
58,0.005,0.9108405709266663
59,0.005,0.9090730547904968
60,0.006,0.9078947305679321
61,0.006,0.9084839224815369
62,0.006,0.9094658493995667
63,0.006,0.907698392868042
64,0.006,0.9069128036499023
65,0.006,0.907698392868042
66,0.006,0.9078947305679321
67,0.006,0.9086803197860718
68,0.006,0.9102513790130615
69,0.006,0.9086803197860718
70,0.007,0.9098586440086365
71,0.007,0.9088766574859619
72,0.007,0.908091127872467
73,0.007,0.9108405709266663
74,0.007,0.9075019955635071
75,0.007,0.9096622467041016
76,0.007,0.9071092009544373
77,0.007,0.9069128036499023
78,0.007,0.9100549817085266
79,0.007,0.9094658493995667
80,0.008,0.907698392868042
81,0.008,0.9094658493995667
82,0.008,0.9084839224815369
83,0.008,0.9096622467041016
84,0.008,0.9078947305679321
85,0.008,0.9067164063453674
86,0.008,0.9114297032356262
87,0.008,0.907698392868042
88,0.008,0.9094658493995667
89,0.008,0.9096622467041016
90,0.009000000000000001,0.9100549817085266
91,0.009000000000000001,0.9110369682312012
92,0.009000000000000001,0.9086803197860718
93,0.009000000000000001,0.9114297032356262
94,0.009000000000000001,0.9100549817085266
95,0.009000000000000001,0.908091127872467
96,0.009000000000000001,0.9108405709266663
97,0.009000000000000001,0.907698392868042
98,0.009000000000000001,0.9086803197860718
99,0.009000000000000001,0.9108405709266663
100,0.01,0.9084839224815369
101,0.01,0.9100549817085266
102,0.01,0.9100549817085266
103,0.01,0.9086803197860718
104,0.01,0.9088766574859619
105,0.01,0.9088766574859619
106,0.01,0.9094658493995667
107,0.01,0.9102513790130615
108,0.01,0.9108405709266663
109,0.01,0.9075019955635071
110,0.011,0.9090730547904968
111,0.011,0.9086803197860718
112,0.011,0.9106441736221313
113,0.011,0.908287525177002
114,0.011,0.9094658493995667
115,0.011,0.9086803197860718
116,0.011,0.9090730547904968
117,0.011,0.9102513790130615
118,0.011,0.9073055982589722
119,0.011,0.9090730547904968
120,0.012,0.9088766574859619
121,0.012,0.9069128036499023
122,0.012,0.9086803197860718
123,0.012,0.9086803197860718
124,0.012,0.9094658493995667
125,0.012,0.9063236713409424
126,0.012,0.9090730547904968
127,0.012,0.9071092009544373
128,0.012,0.9088766574859619
129,0.012,0.9086803197860718
130,0.013000000000000001,0.9108405709266663
131,0.013000000000000001,0.9096622467041016
132,0.013000000000000001,0.9092694520950317
133,0.013000000000000001,0.9090730547904968
