,w_noise_list,w_res
0,0.0,0.907698392868042
1,0.0,0.908091127872467
2,0.0,0.9069128036499023
3,0.0,0.9071092009544373
4,0.0,0.9078947305679321
5,0.0,0.9094658493995667
6,0.0,0.9112333059310913
7,0.0,0.9092694520950317
8,0.0,0.9100549817085266
9,0.0,0.907698392868042
10,0.001,0.9078947305679321
11,0.001,0.9065200686454773
12,0.001,0.9098586440086365
13,0.001,0.9090730547904968
14,0.001,0.9094658493995667
15,0.001,0.9075019955635071
16,0.001,0.9084839224815369
17,0.001,0.908091127872467
18,0.001,0.9094658493995667
19,0.001,0.9075019955635071
20,0.002,0.9086803197860718
21,0.002,0.9071092009544373
22,0.002,0.9094658493995667
23,0.002,0.9096622467041016
24,0.002,0.9094658493995667
25,0.002,0.908287525177002
26,0.002,0.9055381417274475
27,0.002,0.9084839224815369
28,0.002,0.9086803197860718
29,0.002,0.9065200686454773
30,0.003,0.9053417444229126
31,0.003,0.9063236713409424
32,0.003,0.9086803197860718
33,0.003,0.9063236713409424
34,0.003,0.9106441736221313
35,0.003,0.9065200686454773
36,0.003,0.908287525177002
37,0.003,0.9104477763175964
38,0.003,0.9086803197860718
39,0.003,0.9057344794273376
40,0.004,0.9071092009544373
41,0.004,0.9055381417274475
42,0.004,0.9078947305679321
43,0.004,0.9071092009544373
44,0.004,0.9063236713409424
45,0.004,0.9063236713409424
46,0.004,0.9063236713409424
47,0.004,0.9073055982589722
48,0.004,0.9096622467041016
49,0.004,0.9041634202003479
50,0.005,0.9053417444229126
51,0.005,0.9075019955635071
52,0.005,0.9067164063453674
53,0.005,0.9059308767318726
54,0.005,0.907698392868042
55,0.005,0.903377890586853
56,0.005,0.9073055982589722
57,0.005,0.9090730547904968
58,0.005,0.9108405709266663
59,0.005,0.9088766574859619
60,0.006,0.9075019955635071
61,0.006,0.9088766574859619
62,0.006,0.9055381417274475
63,0.006,0.9043598175048828
64,0.006,0.9035742282867432
65,0.006,0.9098586440086365
66,0.006,0.908091127872467
67,0.006,0.9084839224815369
68,0.006,0.9073055982589722
69,0.006,0.9075019955635071
70,0.007,0.9084839224815369
71,0.007,0.9071092009544373
72,0.007,0.9067164063453674
73,0.007,0.9065200686454773
74,0.007,0.9069128036499023
75,0.007,0.9071092009544373
76,0.007,0.9059308767318726
77,0.007,0.9023959040641785
78,0.007,0.9063236713409424
79,0.007,0.9031814932823181
80,0.008,0.903377890586853
81,0.008,0.9071092009544373
82,0.008,0.9078947305679321
83,0.008,0.9090730547904968
84,0.008,0.9051453471183777
85,0.008,0.9008248448371887
86,0.008,0.9067164063453674
87,0.008,0.9037706255912781
88,0.008,0.9059308767318726
89,0.008,0.9065200686454773
90,0.009000000000000001,0.9084839224815369
91,0.009000000000000001,0.9067164063453674
92,0.009000000000000001,0.9049489498138428
93,0.009000000000000001,0.904556155204773
94,0.009000000000000001,0.9059308767318726
95,0.009000000000000001,0.904556155204773
96,0.009000000000000001,0.9035742282867432
97,0.009000000000000001,0.9041634202003479
98,0.009000000000000001,0.9055381417274475
99,0.009000000000000001,0.9078947305679321
100,0.01,0.9020031690597534
101,0.01,0.9063236713409424
102,0.01,0.9057344794273376
103,0.01,0.908287525177002
104,0.01,0.9016103744506836
105,0.01,0.9063236713409424
106,0.01,0.9051453471183777
107,0.01,0.9018067717552185
108,0.01,0.9047525525093079
109,0.01,0.9000393152236938
110,0.011,0.9035742282867432
111,0.011,0.903377890586853
112,0.011,0.9043598175048828
113,0.011,0.8988609910011292
114,0.011,0.9041634202003479
115,0.011,0.9059308767318726
116,0.011,0.903967022895813
117,0.011,0.9061272740364075
118,0.011,0.8990573883056641
119,0.011,0.9025923013687134
120,0.012,0.8978790640830994
121,0.012,0.8994501233100891
122,0.012,0.900235652923584
123,0.012,0.9025923013687134
124,0.012,0.9020031690597534
125,0.012,0.8984681963920593
126,0.012,0.9025923013687134
127,0.012,0.899646520614624
128,0.012,0.9016103744506836
129,0.012,0.9029850959777832
130,0.013000000000000001,0.9027886986732483
131,0.013000000000000001,0.9020031690597534
132,0.013000000000000001,0.9020031690597534
133,0.013000000000000001,0.8998429179191589
