N MSB,#1,#2,#3,uJ
1,0.8594,0.8566,0.857,7.4290
2,0.8729,0.878,0.8759,14.8579
3,0.8773,0.8788,0.8769,22.2869
4,0.881,0.8765,0.8753,29.7158
5,GPU memory,GPU memory,0.8794,37.1448
6,GPU memory,GPU memory,0.8828,44.5737
7,GPU memory,GPU memory,0.8816,52.0027
8,GPU memory,GPU memory,0.8816,59.4316
9,GPU memory,0.8798,0.8816,66.8606
10,GPU memory,GPU memory,GPU memory,74.2895
11,GPU memory,GPU memory,GPU memory,81.7185
12,GPU memory,GPU memory,GPU memory,89.1474
