Non CIM bits,#1,#2,#3,uJ
2,0.1051,0.1002,0.1031,25.26355184
3,0.1051,0.1002,0.1031,25.288742055999997
4,0.7997,0.7967,0.7891,25.324124127999998
5,0.8564,0.8531,0.8633,25.369574399999998
6,0.879,0.8706,0.8761,25.424422015999998
7,0.8743,0.881,0.8816,25.489337832
8,0.881,0.8684,0.8778,25.563650992
9,0.879,0.8816,0.8767,25.648429607999997
10,0.8802,0.8798,0.8812,25.742742368
11,0.8808,0.879,0.8788,25.846849728000006
12,0.8822,0.8743,0.8818,25.961025287999995
