Hidden dim,#1,#2,#3,uJ
114,0.8415,0.8323,0.8403,1036.596852712
200,0.8684,0.8674,0.8722,2655.8599176639996
300,0.8837,0.8857,0.8871,5609.9305148640005
400,0.89,0.8936,0.8871,9647.959128064002
500,0.8985,0.8924,0.8924,3693.032023316
