Output Bits,#1,#2,#3,uJ
2,0.6114,0.52,0.5825,5.117860784
3,0.8415,0.8435,0.8488,6.484417456
4,0.8759,0.88,0.8741,9.217530799999999
5,0.8849,0.8788,0.8755,14.631197616000001
6,0.879,0.8684,0.8802,25.563650992
7,0.882,0.8826,0.8826,47.375997872
8,0.8847,0.8765,0.8731,91.000691632
