Output Bits,#1,#2,#3,uJ
2,0.6114,0.52,0.5825,8.5670
3,0.8415,0.8435,0.8488,12.1936
4,0.8759,0.88,0.8741,16.3327
5,0.8849,0.8788,0.8755,21.6511
6,0.879,0.8684,0.8802,29.7157
7,0.882,0.8826,0.8826,43.9069
8,0.8847,0.8765,0.8731,71.7308
