Input Bits,#1,#2,#3,uJ
2,0.1002,0.0986,0.0984,29.7121
3,0.7616,0.773,0.7804,29.7127
4*,0.8747,0.8765,0.8767,29.7157
5,0.9008,0.9016,0.9,29.7170
6,0.903,0.9022,0.9038,29.7219
7,0.9014,0.9,0.9055,29.7238
8,0.9073,0.9055,0.9016,29.7305
