N MSB,#1,#2,#3,uJ
1,0.8574,0.8533,0.8539,7.4290
2,0.8665,0.8716,0.8723,14.8579
3,0.8769,0.8749,0.8698,22.2868
4,0.881,0.868,0.8778,29.7157
5,0.8839,GPU memory,0.8832,37.1447
6,0.8845,GPU memory,0.8849,44.5736
7,0.8869,GPU memory,GPU memory,52.0025
8,0.8938,GPU memory,GPU memory,59.4315
9,0.8922,GPU memory,0.8867,66.8604
10,0.8904,GPU memory,GPU memory,74.2893
11,GPU memory,GPU memory,GPU memory,81.7183
12,GPU memory,GPU memory,GPU memory,89.1472
