,w_noise_list,w_res
0,0.0,0.907698392868042
1,0.0,0.908091127872467
2,0.0,0.9069128036499023
3,0.0,0.9071092009544373
4,0.0,0.9078947305679321
5,0.0,0.9094658493995667
6,0.0,0.9112333059310913
7,0.0,0.9092694520950317
8,0.0,0.9100549817085266
9,0.0,0.907698392868042
10,0.0,0.9078947305679321
11,0.0,0.908287525177002
12,0.0,0.9110369682312012
13,0.0,0.9096622467041016
14,0.0,0.9098586440086365
15,0.0,0.9090730547904968
16,0.0,0.9096622467041016
17,0.0,0.907698392868042
18,0.0,0.9102513790130615
19,0.0,0.9086803197860718
20,0.005,0.9078947305679321
21,0.005,0.9063236713409424
22,0.005,0.9092694520950317
23,0.005,0.912018895149231
24,0.005,0.9088766574859619
25,0.005,0.9073055982589722
26,0.005,0.907698392868042
27,0.005,0.907698392868042
28,0.005,0.9061272740364075
29,0.005,0.9069128036499023
30,0.005,0.9071092009544373
31,0.005,0.9053417444229126
32,0.005,0.9090730547904968
33,0.005,0.9084839224815369
34,0.005,0.9092694520950317
35,0.005,0.9059308767318726
36,0.005,0.9057344794273376
37,0.005,0.9084839224815369
38,0.005,0.9071092009544373
39,0.005,0.9065200686454773
40,0.01,0.9021995663642883
41,0.01,0.9041634202003479
42,0.01,0.9021995663642883
43,0.01,0.9027886986732483
44,0.01,0.9047525525093079
45,0.01,0.9025923013687134
46,0.01,0.9043598175048828
47,0.01,0.9035742282867432
48,0.01,0.9059308767318726
49,0.01,0.903967022895813
50,0.01,0.9012176394462585
51,0.01,0.9043598175048828
52,0.01,0.9047525525093079
53,0.01,0.9029850959777832
54,0.01,0.904556155204773
55,0.01,0.8978790640830994
56,0.01,0.903967022895813
57,0.01,0.9086803197860718
58,0.01,0.9037706255912781
59,0.01,0.9023959040641785
60,0.015,0.8984681963920593
61,0.015,0.8998429179191589
62,0.015,0.8982717990875244
63,0.015,0.8994501233100891
64,0.015,0.8980754017829895
65,0.015,0.8984681963920593
66,0.015,0.8957188129425049
67,0.015,0.9021995663642883
68,0.015,0.8963079452514648
69,0.015,0.8984681963920593
70,0.015,0.9016103744506836
71,0.015,0.9006284475326538
72,0.015,0.899646520614624
73,0.015,0.9006284475326538
74,0.015,0.8945404887199402
75,0.015,0.8980754017829895
76,0.015,0.8980754017829895
77,0.015,0.8943440914154053
78,0.015,0.8961115479469299
79,0.015,0.8974862694740295
80,0.02,0.8851138949394226
81,0.02,0.8913983106613159
82,0.02,0.8894343972206116
83,0.02,0.8935585618019104
84,0.02,0.8817753791809082
85,0.02,0.8849175572395325
86,0.02,0.8890416622161865
87,0.02,0.8851138949394226
88,0.02,0.8872741460800171
89,0.02,0.8896307945251465
90,0.02,0.891594648361206
91,0.02,0.8864886164665222
92,0.02,0.8880597352981567
93,0.02,0.8855066895484924
94,0.02,0.8872741460800171
95,0.02,0.8913983106613159
96,0.02,0.887077808380127
97,0.02,0.8884524703025818
98,0.02,0.8894343972206116
99,0.02,0.891791045665741
100,0.025,0.8030243515968323
101,0.025,0.808326780796051
102,0.025,0.824234127998352
103,0.025,0.845443844795227
104,0.025,0.8038099408149719
105,0.025,0.8297329545021057
106,0.025,0.8214846849441528
107,0.025,0.7937942147254944
108,0.025,0.8566378951072693
109,0.025,0.81205815076828
110,0.025,0.816378653049469
111,0.025,0.7963472008705139
112,0.025,0.8128436803817749
113,0.025,0.8364100456237793
114,0.025,0.8008641004562378
115,0.025,0.828554630279541
116,0.025,0.7969363927841187
117,0.025,0.8016496896743774
118,0.025,0.8397486209869385
119,0.025,0.8038099408149719
120,0.03,0.7360565662384033
121,0.03,0.7382168173789978
122,0.03,0.7299686074256897
123,0.03,0.7417517900466919
124,0.03,0.7411625981330872
125,0.03,0.7433228492736816
126,0.03,0.7393951416015625
127,0.03,0.7303613424301147
128,0.03,0.7411625981330872
129,0.03,0.7488216757774353
130,0.03,0.7417517900466919
131,0.03,0.7460722923278809
132,0.03,0.7348782420158386
133,0.03,0.7427337169647217
134,0.03,0.7364493608474731
135,0.03,0.745679497718811
136,0.03,0.7446975708007812
137,0.03,0.7348782420158386
138,0.03,0.7427337169647217
